"Team","WINorLOSS","OpponentPoints"
"GSW","L",110
"GSW","W",123
"GSW","W",112
"GSW","W",95
"GSW","W",115
"GSW","W",87
"GSW","W",98
"GSW","W",104
"GSW","W",97
"GSW","W",114
"GSW","W",84
"GSW","W",106
"GSW","L",96
"GSW","W",92
"GSW","W",101
"GSW","L",111
"GSW","W",128
"GSW","W",122
"GSW","W",114
"GSW","W",105
"GSW","W",114
"GSW","L",125
"GSW","W",94
"GSW","W",125
"GSW","W",108
"GSW","W",112
"GSW","L",116
"GSW","W",112
"GSW","W",113
"GSW","W",105
"GSW","L",129
"GSW","W",104
"GSW","L",115
"GSW","L",125
"GSW","W",103
"GSW","W",105
"GSW","W",83
"GSW","L",123
"GSW","W",127
"GSW","W",80
"GSW","W",111
"GSW","W",101
"GSW","W",109
"GSW","W",101
"GSW","W",107
"GSW","L",125
"GSW","L",109
"GSW","W",106
"GSW","L",98
"GSW","W",109
"GSW","L",89
"GSW","W",94
"GSW","L",110
"GSW","L",92
"GSW","L",116
"GSW","W",96
"GSW","W",107
"GSW","W",107
"GSW","L",126
"GSW","L",126
"GSW","W",100
"GSW","L",119
"SAS","W",99
"SAS","W",77
"SAS","W",97
"SAS","W",100
"SAS","L",114
"SAS","L",97
"SAS","L",108
"SAS","L",112
"SAS","W",101
"SAS","W",95
"SAS","W",107
"SAS","L",94
"SAS","W",94
"SAS","W",91
"SAS","L",98
"SAS","W",101
"SAS","W",85
"SAS","L",107
"SAS","W",86
"SAS","W",108
"SAS","W",95
"SAS","W",79
"SAS","L",90
"SAS","W",93
"SAS","W",105
"SAS","W",102
"SAS","W",101
"SAS","L",95
"SAS","L",124
"SAS","W",96
"SAS","W",91
"SAS","W",91
"SAS","L",100
"SAS","W",99
"SAS","W",97
"SAS","W",107
"SAS","L",93
"SAS","W",91
"SAS","L",112
"SAS","W",89
"SAS","L",111
"SAS","W",100
"SAS","L",93
"SAS","W",80
"SAS","L",102
"SAS","W",95
"SAS","L",86
"SAS","L",94
"SAS","W",102
"SAS","W",85
"SAS","L",97
"SAS","W",98
"SAS","W",104
"SAS","L",102
"SAS","L",120
"SAS","W",81
"SAS","L",122
"SAS","L",101
"SAS","L",117
"SAS","L",122
"SAS","W",94
"SAS","L",121
"SAS","L",116
"SAS","W",98
"SAS","L",110
"SAS","L",104
"SAS","L",109
"SAS","W",72
"SAS","W",93
"SAS","W",101
"SAS","W",75
"SAS","W",90
"SAS","W",120
"SAS","L",106
"SAS","L",116
"SAS","W",99
"SAS","W",83
"SAS","L",113
"SAS","L",122
"SAS","W",105
"SAS","W",85
"SAS","L",122
"TOR","W",100
"TOR","W",94
"TOR","L",101
"TOR","L",117
"TOR","W",92
"TOR","W",85
"TOR","L",129
"TOR","W",100
"TOR","L",107
"TOR","W",114
"TOR","W",118
"TOR","L",95
"TOR","W",113
"TOR","W",116
"TOR","W",84
"TOR","W",91
"TOR","L",108
"TOR","L",107
"TOR","W",78
"TOR","W",113
"TOR","W",115
"TOR","W",113
"TOR","W",107
"TOR","W",87
"TOR","L",96
"TOR","W",109
"TOR","W",87
"TOR","W",93
"TOR","W",111
"TOR","W",109
"TOR","W",86
"TOR","L",98
"TOR","L",124
"TOR","W",98
"TOR","W",127
"TOR","W",115
"TOR","W",110
"TOR","W",113
"TOR","L",90
"TOR","W",99
"TOR","L",127
"TOR","L",117
"TOR","W",91
"TOR","W",83
"TOR","L",115
"TOR","W",93
"TOR","L",97
"TOR","W",111
"TOR","W",104
"TOR","L",122
"TOR","W",105
"TOR","W",86
"TOR","W",91
"TOR","W",88
"TOR","W",103
"TOR","W",112
"TOR","W",98
"TOR","L",122
"TOR","W",94
"TOR","W",104
"TOR","W",95
"TOR","W",98
"TOR","W",90
"TOR","W",119
"TOR","W",105
"TOR","W",106
"TOR","W",102
"TOR","W",99
"TOR","W",115
"TOR","L",132
"TOR","W",86
"TOR","L",132
"TOR","W",112
"TOR","L",117
"TOR","W",110
"TOR","L",110
"TOR","L",112
"TOR","W",78
"TOR","W",73
"TOR","W",101
"TOR","W",98
"TOR","L",116
